2024-05-16 18:21:37.371867
c6h5chno2ch3_piperazine 55554.880982637405
CH2CHCH2NO2_picoline_from_lutidine 26621.795426607132
CH2CHCH2NO2_pyridine 18386.483113765717
ch3no2_ch3coo_new 8531.435198783875
CH3NO2_ch2clcoo_near_freez 12981.42244052887
c6h5chno2ch3_piperidine 56179.512637615204
ch32chno2_pyridine_new 22499.611152648926
CH3NO2_H2O_near 3458.3460371494293
CH2CHCH2NO2_lutidine 30597.84728360176
ch32chno2_ch3coo_new 13511.516956329346
mcl-morpholine 74770.88090538979
m-o2nc6h4chno2ch3_piperazine 144180.336905241
m-o2nc6h4chno2ch3_oh 11512.884327888489
p-o2nc6h4chno2ch3_oh 25342.857437610626
m-clc6h4chno2ch3_piperidine 73020.63959503174
m-clc6h4chno2ch3_oh 26891.23629975319
m-o2nc6h4chno2ch3_piperidine 127929.52385520935
m,m-o2n2c6h4chno2ch3_oh 37060.0702996254

